SERIAL_CODE,EMS_ID,STATION_NAME,LOCATION,CITY,CATEGORY,STATION_ENVIRONMENT,STATION_OWNER,DATE_ESTABLISHED,NOTES,LATITUDE,LONGITUDE,HEIGHT(m),STATUS,URL,URL2,PM25_INSTRUMENT,PM25,PM25_UNIT,NO,NO_UNIT,NO2,NO2_UNIT,NOX,NOX_UNIT,O3,O3_UNIT,PM10,PM10_UNIT,SO2,SO2_UNIT,TRS,TRS_UNIT,H2S,H2S_UNIT,WDIR_VEC,WDIR_UNIT,WSPD_SCLR,WSPD_UNIT,TEMP,TEMP_UNIT,HUMIDITY,HUMIDITY_UNIT,PRECIPITATION,PRECIPITATION_UNIT,BAR_PRESSURE,PRESSURE_UNIT,SNOWDEPTH,SNOWDEPTH_UNIT,CO,CO_UNIT,PM25_24,NO_24,NO2_24,NOX_24,O3_8,PM10_24,SO2_24,TRS_24,H2S_24,DATE,DATE_PST,URL_Station
428,E289309,Abbotsford A Columbia Street,"",Abbotsford,METRO VANCOUVER,"",MVRD,"","",49.0215,-122.3265,65,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=428,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=429,PM25 SHARP5030,5.4,ug/m3,0.5,ppb,2.2,ppb,"","",32.9,ppb,12.1,ug/m3,0.4,ppb,"","","","",209.3,Deg.,2.76,m/s,12.5,Deg.C,62.2,% RH,"","","","","","",0.14,ppm,4.8,0.5,2.9,"",27.8,9.2,0.2,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=428
261,E238212,Abbotsford Central,"",Abbotsford,METRO VANCOUVER,"",MVRD,"","",49.0426,-122.3098,58,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=261,,PM25 SHARP5030,5.3,ug/m3,1.9,ppb,6.3,ppb,"","",27.9,ppb,12.2,ug/m3,0.5,ppb,"","","","",192.8,Deg.,1.87,m/s,13.5,Deg.C,"",% RH,"","","","","","","","",5.3,1.4,6,"",24.6,10.3,0.3,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=261
598,598,Agassiz Centennial Park,"",Agassiz,METRO VANCOUVER,"",MVRD,"","",49.23836,-121.77478,56,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=598,,PM25_SHARP5030i,4.5,ug/m3,0.1,ppb,1.2,ppb,"","",34,ppb,"","","","","","","","",223.3,Deg.,3.8,m/s,13.6,Deg.C,52.7,% RH,"","","","","","","","",7.7,1.1,7.5,"",26.6,"","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=598
450,E295729,Bessborough 237 Road,"",None,OPERATIONAL,"",INDUSTRY,"","",55.791944,-120.483611,665,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=450,,"","","","","","","","","","","","","",0.3,ppb,"","",0,ppb,253.4,Deg.,10.99,m/s,5.7,Deg.C,"","","","","","","","","","","","","","","","",0.4,"",0.6,Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=450
520,E257435,Birchbank Golf Course,"",Trail,OPERATIONAL,"",INDUSTRY,"","",49.157855,-117.73312,483,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=520,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=97,"","","","","","","","","","","","","",0,ppb,"","","","",307,Deg.,1.28,m/s,10.4,Deg.C,39.1,% RH,"","","","","","","","","","","","","","",3.7,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=520
251,E244515,Burnaby Burmount,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2667,-122.9355,101,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=251,,"","","","","","","","","","","","","","","",0.1,ppb,"","",316.2,Deg.,2.28,m/s,13.5,Deg.C,"","","","","","","","","","","","","","","","","",0.2,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=251
242,0310177,Burnaby Kensington Park,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2792,-122.9707,104,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=242,,PM25 SHARP5030,4.9,ug/m3,2,ppb,14.1,ppb,"","",19.1,ppb,15.6,ug/m3,0.3,ppb,0.3,ppb,"","",322.4,Deg.,1.63,m/s,12.4,Deg.C,"","","","","","","","","","",4.8,2.3,9.8,"",22.9,9.4,0.2,0.4,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=242
313,E206270,Burnaby Mountain,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2798,-122.9223,360,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=313,,"","","",2.1,ppb,10.9,ppb,"","",22.4,ppb,"","","","","","","","",287.6,Deg.,3.32,m/s,9.9,Deg.C,67.3,% RH,"","","","","","","","","",1.6,7.6,"",21,"","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=313
253,E244517,Burnaby North Eton,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2875,-123.008,70,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=253,,"","","","","","","","","","","",20.4,ug/m3,0.2,ppb,"",ppb,"","",336.6,Deg.,1.45,m/s,11.5,Deg.C,"","","","","","","","","","","","","","","",10,0.3,0.4,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=253
249,E207418,Burnaby South,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2152,-122.9857,122,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=249,,PM25_T640,4.1,ug/m3,0.4,ppb,3.2,ppb,"","",31,ppb,10.2,ug/m3,0.3,ppb,"","","","",281.8,Deg.,1.8,m/s,13.4,Deg.C,51.4,% RH,"","","","","","",0.15,ppm,5.9,1,7.3,"",26.8,10.8,0.3,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=249
