sensor_index,monitor,network,lat,lng,date,prov_terr,pm25_recent_r,pm25_recent,pm25_1hr_r,pm25_1hr,pm25_3hr_r,pm25_3hr,pm25_24hr_r,pm25_24hr,temperature,rh,pressure,val_24hr_r,val_1hr_r,val_r,val_24hr,val_1hr,val,icon_url_24hr_r,icon_url_1hr_r,icon_url_r,icon_url_24hr,icon_url_1hr,icon_url
167935,Wendyl,PA,53.48433,-113.64922,2025-10-16 23:40:00,Alberta,,,,,,,,,20,27,924.7,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
912,The Hub,PA,48.72967,-123.66412,2025-10-17 02:50:00,British Columbia,,,,,,,,,17.8,59,1012.1,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
112112,CH Escoumins,PA,48.351906,-69.407166,2025-10-17 04:00:00,Quebec,,,,,,,,,11,46,1009.5,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
191561,Tall Tree Way Greenhouse,PA,48.04927,-123.04513,2025-10-17 05:00:00,United States,,,,,,,,,18.3,48,1005.9,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
232207,Outside Beach,PA,48.44621,-123.29229,2025-10-17 06:50:00,British Columbia,,,,,,,,,16.7,68,1020.3,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
279594,AFFES-Smoke lake,PA,45.54146,-78.69458,2025-10-17 14:20:00,Ontario,,,,,,,,,10.4,52,971,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
209865,AQSU-CAPMoN_LON,PA,42.883614,-81.48039,2025-10-17 14:30:00,Ontario,,,,,,,,,14.4,59,991.7,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
96155,Cooks creek manitoba,PA,50.006832,-96.810814,2025-10-17 15:50:00,Manitoba,,,,,,,,,11.7,74,965.6,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
78017,HH Estates,PA,48.10907,-122.56596,2025-10-17 16:00:00,United States,,,,,,,,,15.9,58.7,1018.9,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
204375,Cassidy Point,PA,43.643017,-70.27749,2025-10-17 17:20:00,United States,,,,,,,,,18.9,52,1012,,,,,,,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png,icons/icon_21_-.png
