Regional District,Municipality,Vehicle Idling,Open Burning,Solid Fuel Burning Appliances,Population 2015
Alberni-Clayoquot,Alberni-Clayoqout RD-uninc,0,1,0,10389
Alberni-Clayoquot,Port Alberni,0,0,1,16149
Alberni-Clayoquot,Tofino,1,1,0,2053
Alberni-Clayoquot,Ucluelet,0,1,0,1515
Bulkley-Nechako,Bulkley-Nechako RD-uninc,0,0,0,21043
Bulkley-Nechako,Burns Lake,0,1,1,1829
Bulkley-Nechako,Fort St James ,1,0,1,1776
Bulkley-Nechako,Fraser Lake,0,0,1,1149
Bulkley-Nechako,Granisle,0,1,1,304
Bulkley-Nechako,Houston,0,1,1,3120
Bulkley-Nechako,Smithers,0,1,1,4932
Bulkley-Nechako,Telkwa,0,1,0,1352
Bulkley-Nechako,Vanderhoof,0,1,0,4492
Capital,Capital RD-uninc,1,0,0,25450
Capital,Central Saanich,0,1,0,16046
Capital,Colwood,0,1,0,16955
Capital,Esquimalt,0,0,0,16697
Capital,Highlands,0,0,0,2270
Capital,Langford,0,0,0,37275
Capital,Metchosin,0,1,0,4972
Capital,North Saanich,0,0,0,10994
Capital,Oak Bay,0,0,0,17474
Capital,Saanich,0,0,0,110803
Capital,Sidney,0,0,0,11065
Capital,Sooke,0,1,0,12181
Capital,Victoria,1,0,0,84793
Capital,View Royal,0,0,1,10834
Cariboo,100 Mile House,0,0,0,1913
Cariboo,Cariboo RD-uninc,0,0,0,39743
Cariboo,Quesnel,0,0,1,9160
Cariboo,Wells,0,0,0,232
Cariboo,Williams Lake,0,0,1,11215
Central Coast,Central Coast RD-uninc,0,0,0,3197
Central Kootenay,Castlegar,0,1,0,7953
Central Kootenay,Central Kootenay RD-uninc,0,0,0,31883
Central Kootenay,Creston,0,0,0,4744
Central Kootenay,Kaslo,1,1,0,998
Central Kootenay,Nakusp,1,0,0,1519
Central Kootenay,Nelson,0,0,1,10802
Central Kootenay,New Denver,0,1,0,523
Central Kootenay,Salmo,1,1,1,1181
Central Kootenay,Silverton,0,0,0,197
Central Kootenay,Slocan,0,0,0,300
Central Okanagan,Central Okanagan RD-uninc,0,1,1,17613
Central Okanagan,Kelowna,0,0,1,124378
Central Okanagan,Lake Country,0,1,0,14035
Central Okanagan,Peachland,0,1,1,5013
Central Okanagan,West Kelowna,0,1,1,34484
Columbia-Shuswap,Columbia-Shuswap RD-uninc,0,0,0,20865
Columbia-Shuswap,Golden,0,1,1,3768
Columbia-Shuswap,Revelstoke,1,0,1,7192
Columbia-Shuswap,Salmon Arm,0,0,1,17183
Columbia-Shuswap,Sicamous,0,1,0,2443
Comox Valley,Comox,0,0,1,13986
Comox Valley,Comox Valley RD-uninc,0,0,1,21898
Comox Valley,Courtenay,0,0,0,25244
Comox Valley,Cumberland,0,0,0,3506
Cowichan Valley,Cowichan Valley RD-uninc,0,1,0,36834
Cowichan Valley,Duncan,1,0,1,4663
Cowichan Valley,Ladysmith,0,0,1,8177
Cowichan Valley,Lake Cowichan,0,1,0,3114
Cowichan Valley,North Cowichan,0,0,1,29999
East Kootenay,Canal Flats,0,0,0,732
East Kootenay,Cranbrook,0,0,1,19911
East Kootenay,East Kootenay RD-uninc,0,0,1,15789
East Kootenay,Elkford ,0,0,0,2608
East Kootenay,Fernie,0,0,0,4308
East Kootenay,Invermere,1,1,0,3028
East Kootenay,Kimberley,0,1,1,6746
East Kootenay,Radium Hot Springs,0,1,0,752
East Kootenay,Sparwood,0,0,1,3768
Fraser Valley,Abbotsford,0,0,0,141498
Fraser Valley,Chilliwack,0,1,0,86857
Fraser Valley,Fraser Valley RD-uninc,0,0,0,16061
Fraser Valley,Harrison,0,0,1,1378
Fraser Valley,Hope,0,1,0,5714
Fraser Valley,Kent,0,0,0,6195
Fraser Valley,Mission,0,1,0,38711
Fraser-Fort George,Fraser-Fort RD-uninc,0,0,0,14883
Fraser-Fort George,Mackenzie,0,0,1,3499
Fraser-Fort George,McBride,0,1,0,577
Fraser-Fort George,Prince George,0,0,1,71363
Fraser-Fort George,Valemount,0,1,0,955
Greater Vancouver,Anmore,0,0,0,2243
Greater Vancouver,Belcarra,0,0,0,623
Greater Vancouver,Bowen Island,1,0,0,3546
Greater Vancouver,Burnaby,0,0,0,238209
Greater Vancouver,Coquitlam,0,0,0,144668
Greater Vancouver,Delta,0,0,0,100652
Greater Vancouver,Langley (Town),0,1,1,116863
Greater Vancouver,Langley City,0,1,0,27738
Greater Vancouver,Lions Bay,1,1,0,1332
Greater Vancouver,Maple Ridge,0,1,0,81247
Greater Vancouver,Metro Vancouver RD-uninc,0,0,1,26941
Greater Vancouver,New West,1,0,0,71655
Greater Vancouver,North Vancouver (City),1,0,0,54258
Greater Vancouver,North Vancouver (District),1,0,1,85974
Greater Vancouver,Pitt Meadows,0,1,0,19652
Greater Vancouver,Port Coquitlam,0,0,0,60264
Greater Vancouver,Port Moody,1,0,0,34554
Greater Vancouver,Richmond,0,0,0,207773
Greater Vancouver,Surrey,1,1,0,526004
Greater Vancouver,Vancouver (City),1,0,1,648608
Greater Vancouver,West Vancouver,1,0,0,41728
Greater Vancouver,White Rock,0,0,0,19327
Kitimat-Stikine,Hazelton,0,0,0,263
Kitimat-Stikine,Kitimat,0,0,0,8211
Kitimat-Stikine,Kitimat-Stikine RD-uninc,0,0,0,17908
Kitimat-Stikine,New Hazelton,0,0,0,653
Kitimat-Stikine,Stewart,0,1,0,422
Kitimat-Stikine,Terrace,0,1,1,11164
Kootenay Boundary,Fruitvale,1,0,1,2064
Kootenay Boundary,Grand Forks,1,0,1,3936
Kootenay Boundary,Greenwood,0,0,0,692
Kootenay Boundary,Kootenay Boundary RD-uninc,0,0,0,8307
Kootenay Boundary,Midway,0,0,0,655
Kootenay Boundary,Montrose,0,1,1,1010
Kootenay Boundary,Rossland,1,1,0,3575
Kootenay Boundary,Trail,0,0,1,7448
Kootenay Boundary,Warfield,0,0,0,1662
Mount Waddington,Alert Bay,0,0,0,440
Mount Waddington,Mount Waddington RD-uninc,0,0,0,3744
Mount Waddington,Port Alice,0,0,0,784
Mount Waddington,Port Hardy,0,1,0,3943
Mount Waddington,Port McNeill,0,0,0,2476
Nanaimo,Lantzville,0,0,0,3389
Nanaimo,Nanaimo,0,0,0,90524
Nanaimo,Nanaimo RD-uninc,0,0,0,39121
Nanaimo,Parksville,0,1,0,12598
Nanaimo,Qualicum Beach,1,1,0,8940
North Okanagan,Armstrong ,0,1,0,4951
North Okanagan,Coldstream,0,0,0,10821
North Okanagan,Enderby,0,0,0,2840
North Okanagan,Lumby,0,1,1,1753
North Okanagan,North Okanagan RD-uninc,0,1,0,18518
North Okanagan,Spallumcheen,0,0,0,5207
North Okanagan,Vernon,0,1,1,40497
Okanagan-Similkameen,Keremeos,0,0,0,1431
Okanagan-Similkameen,Okanagan-Similkameen RD-uninc,0,1,0,23057
Okanagan-Similkameen,Oliver,0,1,0,4597
Okanagan-Similkameen,Osoyoos,1,0,0,4796
Okanagan-Similkameen,Penticton,0,1,0,33964
Okanagan-Similkameen,Princeton,0,1,0,2729
Okanagan-Similkameen,Summerland,0,0,0,11267
Peace River,Chetwynd,0,0,1,2686
Peace River,Dawson Creek,0,1,0,11944
Peace River,Fort St John,0,0,0,20778
Peace River,Hudsons Hope,0,0,0,1033
Peace River,Northern Rockies ,0,0,1,5366
Peace River,Peace River RD-uninc,0,0,0,22617
Peace River,Pouce Coupe,0,0,0,713
Peace River,Taylor,0,0,0,1500
Peace River,Tumbler Ridge,0,0,1,2647
Powell River,Powell River RD-uninc,0,0,0,6541
Powell River,Powell River (City),0,1,1,12893
Skeena-Queen Charlotte,Masset,0,0,0,876
Skeena-Queen Charlotte,Port Clements,0,0,0,365
Skeena-Queen Charlotte,Port Edward,0,1,0,500
