"FSA","location_name","Vulnerability_Communication_Kindergarten","Vulnerability_Emotional_Kindergarten","Vulnerability_Cognitive_Kindergarten","Vulnerability_Physical_Kindergarten","Vulnerability_Social_Kindergarten","Vulnerability_One_or_More_Areas_Kindergarten","Life_Expectancy_Total_All_Ages","PYLL_Smoking_Attributable_Deaths","PYLL_Drug_Induced_Deaths","PYLL_Alcohol_Related_Deaths","PYLL_Accidental_Falls","PYLL_Motor_Vehicle_Accidents","Infant_Mortality_Rate_1_Year","Low_Birth_Rate_1_Year","Asthma_Prevalence_5_54_Years","COPD_Prevalence_45_Years","Diabetes_Prevalence_1_Years","Heart_Failure_Prevalence_1_Years","Hypertension_Prevalence_20_Years","Asthma_Incidence_5_54_Years","COPD_Incidence_45_Years","Diabetes_Incidence_1_Years","Heart_Failure_Incidence_1_Years","Hypertension_Incidence_20_Years","General_Practitioners_Per_100000_Population","Specialists_Per_100000_Population","Supplementary_Practitioners_Per_100000_Population","Alcohol_Consumption_Per_Capita","Injury_Hospitalization_Count","All_Cause_Cancer_Incident_Cases","Depression_Incident_Counts_1_Years","Asthma_Incident_Counts_5_54_Years","COPD_Incident_Counts_45_Years","Hypertension_Incident_Counts_20_Years","Heart_Failure_Incident_Counts_1_Years","Diabetes_Incident_Counts_1_Years","total_gaming_grant_2022","avg_gaming_grant_2022","population","pop_density","mean_age","median_age","num_living_alone","avg_household_size","num_single_ppl","median_person_income","median_household_income","low_income_percent","gini_household","num_eng_speakers","num_indigenous","num_non_indigenous","avg_room_dwelling","excess_rent","num_non_immig","num_non_minority","num_non_1yr_mover","num_hs_edu","num_postsecond","num_employed","avg10yr_noiselvl2019","avg10yr_landsat_fsa2019","pm25_fsa_avg10yr_2020","avg3yr_landtemp_2021","avg2019_buil_dense_100m","avg2019_facility_richness","avg2019_prox.emp","avg2019_prox_health","avg2019_prox_park","avg2021_canbics_index","avg10yr_annual_precipitation","2020s_summer_tmean_change","2050s_summer_tmean_change","total_heat","pop_chng","median_age_chgn"
"V0A","Invermere",0.07,0.12,0.09,0.12,0.12,0.26,81.7,1.21,0.5,0.82,0,0,6,46,9.6,7.6,6,1.8,19.5,4.5,12.5,7.4,3.8,14.2,136,41,149,2.8,1028,129,43,29,36,47,24,48,1851395,22856.7284,598.586206896552,460.034482758621,44.2827586206897,45.6551724137931,81.8965517241379,2.21379310344828,192.758620689655,42917.2413793103,83779.3103448276,9.43448275862069,0.29948275862069,537.586206896552,41.551724137931,531.724137931035,6.28965517241379,14.2769230769231,498.275862068965,545.689655172414,484.48275862069,417.758620689655,195.344827586207,291.379310344828,59.289,0.281,6.829,26.187,0.098,0.006,0.003,0.003,0.048,0.168,51.26075,0.9,3,210,4826,4.8
"V0B","Sparwood",0.1,0.13,0.03,0.1,0.14,0.26,81.1,0.77,0.52,0.99,0.95,3.41,2,32,11,8.4,7.5,2.5,22.4,7,13.6,9.2,4.8,23.4,154,20,148,2.3,2198,281,113,100,74,150,55,125,1441280,18717.92208,493.178082191781,405.742465753425,44.730303030303,47.5818181818182,70,2.2969696969697,170.681818181818,41403.2786885246,85326.2295081967,11.3737704918033,0.297426229508197,507.272727272727,46.5151515151515,486.969696969697,6.51212121212121,14.5418181818182,478.484848484848,516.893939393939,465.833333333333,366.439393939394,166.136363636364,248.409090909091,59.058,0.385,7.124,27.162,0.06,0.004,0.002,0.003,0.022,0.215,51.1015,0.9,3,210,1349,0.399999999999999
"V0C","Fort St. John",0.07,0.15,0.05,0.13,0.11,0.26,79.5,1.31,0.69,2.3,0,3.28,6,66,13.6,6.7,7.8,2.6,25.6,3.2,9.6,7.9,4.1,31.1,49,66.5,65,1.9,970,71,61,19,13,71,11,43,710790,19744.16667,368.285714285714,143.415476190476,38.6913043478261,39.2507246376812,49.7826086956522,2.48840579710145,128.550724637681,46112.0689655172,98315.5172413793,10.9034482758621,0.311379310344828,427.826086956522,85.7971014492754,350.144927536232,6.46666666666667,4.1219512195122,403.188405797101,418.913043478261,383.115942028986,249.347826086957,109.420289855072,210.434782608696,58.903,0.338,5.596,22.125,0.027,0.001,0.002,0.003,0.009,0.013,38.41675,0.7,2.5,211,7920,3.7
"V0E","Kelowna",0.12,0.16,0.11,0.17,0.16,0.3,79.8,1.41,1.16,1.6,0.7,2.09,5,59,13.5,6.9,8.5,2.7,25.3,6.5,9.7,6.4,4.8,23.2,120,92,81,1.7,11770,2164,1235,561,374,965,383,544,914684,19461.3617,513.194805194805,300.62091503268,46.66,50.4827586206897,62.9655172413793,2.32275862068966,166.275862068965,36828.3582089552,75572.3880597015,12.8626865671642,0.300492537313433,515.689655172414,55.1034482758621,479.172413793103,6.54137931034483,16.4456140350877,486.172413793103,521.620689655172,468.896551724138,358.206896551724,152.206896551724,234.137931034483,59.392,0.357,6.603,26.502,0.061,0.003,0.002,0.002,0.023,0.068,48.9415833333333,0.9,3,211,3617,-0.399999999999999
"V0G","Trail",0.06,0.12,0.05,0.07,0.13,0.21,80.8,1.3,0.78,1.66,1.17,2.87,1,54,14.3,9.8,6.7,2.4,24.6,6.6,10.7,5.4,3.7,21,243,191,175,1.8,3080,640,217,114,109,209,92,110,992460,17111.37931,547.108695652174,336.008695652174,46.9644444444444,50.2844444444444,80.8888888888889,2.16888888888889,182.555555555556,38154.5454545455,74002.2727272727,14.0886363636364,0.298454545454545,514.444444444444,32.4444444444444,513.222222222222,6.41777777777778,15.6416666666667,490.888888888889,533.333333333333,488,394.222222222222,185.555555555556,240.777777777778,59.392,0.425,6.986,26.975,0.041,0.005,0.001,0.002,0.028,0.022,64.7866666666667,0.9,3,210,7314,-2.9
"V0H","Kelowna",0.15,0.17,0.12,0.19,0.29,0.42,81.75,1.56,1.3,0.96,1.98,1.11,11,56,12,9.5,6.1,1.7,21.1,6.1,9.6,4.5,2.3,16,54,64.5,27,1.8,328,136,20,17,22,40,12,21,1906310,24130.50633,569.872549019608,533.270588235294,51.4372549019608,56.5549019607843,72.8921568627451,2.22941176470588,181.617647058824,37154.6391752577,75658.7628865979,11.4216494845361,0.305886597938144,524.21568627451,30.5392156862745,521.127450980392,6.70980392156863,17.5857142857143,468.333333333333,512.941176470588,482.598039215686,401.176470588235,156.666666666667,227.401960784314,59.058,0.336,6.799,29.715,0.092,0.002,0.003,0.003,0.043,0.499,36.3853333333333,0.9,3,210,138023,-0.399999999999999
"V0J","Prince George",0.12,0.16,0.11,0.17,0.16,0.3,79.8,1.41,1.16,1.6,0.7,2.09,5,59,13.5,6.9,8.5,2.7,25.3,6.5,9.7,6.4,4.8,23.2,120,92,81,1.7,11770,2164,1235,561,374,965,383,544,853776,21891.69231,287.626315789474,213.019251336898,41.4875,42.8382352941176,46.4705882352941,2.45073529411765,133.419117647059,40640.3669724771,81947.7064220184,13.4596330275229,0.298770642201835,380.514705882353,109.777777777778,283.444444444445,6.28444444444444,9.5125,360.222222222222,381.666666666667,352.148148148148,235.814814814815,103.555555555556,174.851851851852,59.058,0.393,6.442,21.963,0.035,0.002,0.001,0.004,0.019,0.031,54.3775,0.8,2.8,211,59,23.4
"V0K","Kamloops",0.14,0.21,0.17,0.21,0.18,0.38,79.3,1.31,1.27,1.89,2.97,1.67,4,62,11.9,10.6,8.6,2.8,25.8,6,14,8.2,4.1,21.7,110,25,59,1.6,4028,697,212,127,157,266,101,192,914684,19461.3617,199.494252873563,81.0253012048193,48.1735632183908,52.851724137931,55.6896551724138,2.2551724137931,131.609195402299,34764.5161290323,67790.3225806452,15.6854838709677,0.313064516129032,376.954022988506,71.3793103448276,314.310344827586,6.35747126436782,10.2,348.965517241379,373.965517241379,338.16091954023,249.655172413793,97.0689655172414,150.229885057471,59.392,0.297,6.726,25.981,0.052,0.006,0.001,0.004,0.017,0,46.4014166666667,0.9,3,211,2627,-3
"V0L","Hanceville",0.18,0.24,0.18,0.23,0.25,0.42,79.6,1.35,0.59,1.58,0.27,3,7,62,12.8,7.2,7.8,2.2,24.1,6.8,10.4,5,5.3,21.6,123,26,108,1.7,3922,678,273,162,128,261,130,128,914684,19461.3617,95.3555555555555,11.2230769230769,44.0266666666667,46.9466666666667,33.6666666666667,2.69333333333333,98.3333333333333,32200,67400,18.3,0.318428571428571,270.333333333333,119.666666666667,150,5.74666666666667,0,242,266.666666666667,243.333333333333,154.666666666667,56.3333333333333,102,59.058,0.419,7.081,23.903,0.007,0.001,0,0.003,0.001,0,43.6330833333333,0.9,2.9,211,5523,0.299999999999997
"V0M","Agassiz",0.11,0.15,0.16,0.23,0.14,0.36,81.6,1.24,1.14,0.56,0,0.04,2,64,15.1,7.6,9.3,2.7,24.6,7.5,7.2,7.8,3.6,21.8,33,45,44,1.7,936,251,99,58,36,108,40,71,1650688,22612.16438,355.588235294118,305.747058823529,44.2541666666667,46.3916666666667,52.2916666666667,2.49583333333333,172.708333333333,35905.8823529412,76588.2352941177,13.6588235294118,0.300352941176471,456.458333333333,105.217391304348,388.478260869565,5.98260869565217,22.2153846153846,421.304347826087,459.782608695652,420.434782608696,324.130434782609,126.304347826087,200.869565217391,59.974,0.43,5.648,26.235,0.047,0.003,0.002,0,0.023,0.104,152.4395,0.9,2.9,198,24178,2.1
