id,accidentDate,year,timeOfKill,nearestTown,species,sex,age,quantity,latitude,longitude,serviceArea,dataSet,sourceFile
81749,1978-10-01,1978,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.944754,-122.455181,19,Old - Historical,1978_1988
81750,1978-10-01,1978,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,54.040221,-122.759453,19,Old - Historical,1978_1988
81751,1978-11-01,1978,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.81749,-123.050721,19,Old - Historical,1978_1988
81753,1978-11-01,1978,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,54.13868,-122.630545,19,Old - Historical,1978_1988
81755,1978-12-01,1978,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,YOUNG,1,53.864324,-123.250187,19,Old - Historical,1978_1988
81758,1978-12-01,1978,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.848003,-123.197394,19,Old - Historical,1978_1988
79124,1979-02-01,1979,UNKNOWN,PRINCE GEORGE,Deer,UNKNOWN,UNKNOWN,1,53.015513,-122.495015,18,Old - Historical,1978_1988
81759,1979-04-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,54.409108,-122.64102,19,Old - Historical,1978_1988
81764,1979-12-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.877953,-122.248898,19,Old - Historical,1978_1988
81765,1979-12-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,ADULT,2,53.89341,-122.295712,19,Old - Historical,1978_1988
81766,1979-12-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.891546,-122.094202,19,Old - Historical,1978_1988
81768,1979-12-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.939779,-122.424993,19,Old - Historical,1978_1988
81769,1979-12-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.91717,-122.359508,19,Old - Historical,1978_1988
81770,1979-12-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.939779,-122.424993,19,Old - Historical,1978_1988
81773,1979-12-01,1979,UNKNOWN,PRINCE GEORGE,Moose,UNKNOWN,UNKNOWN,1,53.880014,-122.233938,19,Old - Historical,1978_1988
