source_name,current_lha_code,current_name
Armstrong-Spallumcheen,135,Armstrong/Spallumcheen
Cariboo-Chilcotin,146,Cariboo/Chilcotin
Maple Ridge,223,Maple Ridge/Pitt Meadows
Coquitlam,224,Tri-Cities
Vancouver - Downtown Eastside,322,Vancouver - Centre North
Downtown Eastside,322,Vancouver - Centre North
Vancouver - North East,323,Vancouver - Northeast
North East,323,Vancouver - Northeast
Sooke,412,Western Communities
Saanich,413,Saanich Peninsula
Gulf Island,414,Southern Gulf Islands
Gulf Islands,414,Southern Gulf Islands
Cowichan,421,Cowichan Valley South
Lake Cowichan,422,Cowichan Valley West
Ladysmith,423,Cowichan Valley North
Nanaimo,424,Greater Nanaimo
Qualicum,425,Oceanside
Alberni,426,Alberni/Clayoquot
Courtenay,431,Comox Valley
Campbell River,432,Greater Campbell River
Queen Charlotte,510,Haida Gwaii
City Center,321,Vancouver - City Centre
Westside,324,Vancouver - Westside
Midtown,325,Vancouver - Midtown
South Vancouver,326,Vancouver - South
