dataset,datasetTitle,year,location,municipality,crashCount,sourceLocationName,longitude,latitude,geocodeMatchType
all_crashes,All reported crash locations,2020,15TH AVE & CENTRAL ST E & CENTRAL ST W & HWY 97 S & TURNING LANE,PRINCE GEORGE,38,Hwy 97 S & 15th Ave ,-122.78179494195119,53.910312151553725,subset_intersection_name
all_crashes,All reported crash locations,2020,DOMANO BLVD & HWY 16 W & TYNER BLVD & TURNING LANE,PRINCE GEORGE,33,Domano Blvd  & Domano Blvd ,-122.7710521207196,53.84646157118433,subset_intersection_name
all_crashes,All reported crash locations,2020,FERRY AVE & HWY 16 W & TURNING LANE,PRINCE GEORGE,29,Hwy 16 W & Ferry Ave ,-122.76736310375131,53.88887407036401,exact_intersection_name
all_crashes,All reported crash locations,2020,COWART RD & HWY 16 W & VANCE RD & CEMETERY ACCESS ROAD & TURNING LANE,PRINCE GEORGE,26,Hwy 16 W & Vance Rd ,-122.77015009178176,53.88093857899615,subset_intersection_name
all_crashes,All reported crash locations,2020,HWY 16 W & HWY 97 S & INDUSTRIAL ACCESS ROAD & TURNING LANE,PRINCE GEORGE,22,,,,
all_crashes,All reported crash locations,2020,MASSEY DR & WESTWOOD DR & TURNING LANE,PRINCE GEORGE,21,Massey Dr  & Westwood Dr ,-122.78220102448,53.89962927490321,exact_intersection_name
all_crashes,All reported crash locations,2020,15TH AVE & 15TH AVE FRTG & OSPIKA BLVD,PRINCE GEORGE,19,Ospika Blvd  & 15th Ave ,-122.79747485365283,53.91031461599602,subset_intersection_name
all_crashes,All reported crash locations,2020,20TH AVE & CARNEY ST & MASSEY DR & WINNIPEG ST & TURNING LANE,PRINCE GEORGE,19,Massey Dr  & Carney St ,-122.76719262100009,53.9064125236042,subset_intersection_name
all_crashes,All reported crash locations,2020,20TH AVE & REDWOOD ST & VICTORIA ST,PRINCE GEORGE,19,20th Ave  & Redwood St ,-122.75656169384115,53.90543882115238,subset_intersection_name
all_crashes,All reported crash locations,2020,5TH AVE & CENTRAL ST E & HWY 97 S & TURNING LANE,PRINCE GEORGE,19,Hwy 97 S & 5th Ave ,-122.78177854610227,53.9205941555201,subset_intersection_name
all_crashes,All reported crash locations,2020,10TH AVE & CENTRAL ST E & CENTRAL ST W & HWY 97 S & TURNING LANE,PRINCE GEORGE,18,Hwy 97 S & 10th Ave ,-122.78177628409276,53.915447860379075,subset_intersection_name
all_crashes,All reported crash locations,2020,5TH AVE & OSPIKA BLVD & TURNING LANE,PRINCE GEORGE,16,Ospika Blvd  & 5th Ave ,-122.79417553362454,53.92053592860853,exact_intersection_name
all_crashes,All reported crash locations,2020,HART HWY & HART HWY ONRAMP & HWY 97 S & N NECHAKO RD OFFRAMP & N NECHAKO RD ONRAMP & NECHAKO RD OVERPASS & NORTH NECHAKO RD & INDUSTRIAL ACCESS ROAD,PRINCE GEORGE,15,Hart Hwy  & North Nechako Rd ,-122.78062589085935,53.93106085695682,subset_intersection_name
all_crashes,All reported crash locations,2020,MASSEY DR & OSPIKA BLVD & TURNING LANE,PRINCE GEORGE,14,Ospika Blvd  & Massey Dr ,-122.79101461008624,53.89892833157825,exact_intersection_name
all_crashes,All reported crash locations,2020,10TH AVE & CARNEY ST,PRINCE GEORGE,12,Carney St  & 10th Ave ,-122.76929725602113,53.91542380304837,exact_intersection_name
all_crashes,All reported crash locations,2020,15TH AVE & CARNEY ST,PRINCE GEORGE,12,15th Ave  & Carney St ,-122.7692733112798,53.910361039113525,exact_intersection_name
all_crashes,All reported crash locations,2020,FERRY AVE & FERRY AVE OFFRAMP & FERRY AVE ONRAMP & HWY 97 S & MOYIE ST & QUEENSWAY & QUEENSWAY OFFRAMP & QUEENSWAY ONRAMP & SIMON FRASER BRIDGE & TURNING LANE,PRINCE GEORGE,12,Queensway   & Moyie St ,-122.7474780339104,53.893242216093796,subset_intersection_name
all_crashes,All reported crash locations,2020,15TH AVE & PATRICIA BLVD & VICTORIA ST & TURNING LANE,PRINCE GEORGE,11,Victoria St  & 15th Ave ,-122.7548642990933,53.910532795614444,subset_intersection_name
all_crashes,All reported crash locations,2020,DAKELH TI & DOMANO BLVD & MCGILL CRES & TURNING LANE,PRINCE GEORGE,11,Domano Blvd  & Domano Blvd ,-122.7710521207196,53.84646157118433,subset_intersection_name
all_crashes,All reported crash locations,2020,HART HWY & HART HWY FRTG & NORTHWOOD PULPMILL RD & NORTHWOOD PULPMILL RD OFFRAMP,PRINCE GEORGE,11,Hart Hwy  & Northwood Pulpmill Rd ,-122.76126102811199,53.94364981867475,subset_intersection_name
all_crashes,All reported crash locations,2020,HWY 16 W & KONRATH RD & WESTGATE AVE & TURNING LANE,PRINCE GEORGE,11,Hwy 16 W & Westgate Ave ,-122.80187600562118,53.86123492513162,subset_intersection_name
all_crashes,All reported crash locations,2020,15TH AVE & FOOTHILLS BLVD & UNIVERSITY WAY,PRINCE GEORGE,10,Foothills Blvd  & 15th Ave ,-122.81162073426202,53.91037359785447,subset_intersection_name
all_crashes,All reported crash locations,2020,1ST AVE & CARNEY ST & RIVER RD & TURNING LANE,PRINCE GEORGE,10,1st Ave  & River Rd ,-122.76848239866689,53.92548131015521,subset_intersection_name
all_crashes,All reported crash locations,2020,20TH AVE & SPRUCE ST,PRINCE GEORGE,10,20th Ave  & Spruce St ,-122.7579191232894,53.90543509971525,exact_intersection_name
all_crashes,All reported crash locations,2020,AUSTIN RD E & AUSTIN RD W & HART HWY & HART HWY FRTG & TURNING LANE,PRINCE GEORGE,10,Hart Hwy  & Austin Rd W,-122.78698619107912,53.98951914251626,subset_intersection_name
