dataset,datasetTitle,year,location,municipality,crashCount,sourceLocationName,longitude,latitude,geocodeMatchType
motorcycle_crashes,Crashes involving motorcycles,2020,HART HWY & HART HWY FRTG & NORTHWOOD PULPMILL RD & NORTHWOOD PULPMILL RD OFFRAMP,PRINCE GEORGE,2,Hart Hwy  & Northwood Pulpmill Rd ,-122.76126102811199,53.94364981867475,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2020,10TH AVE & CENTRAL ST E & CENTRAL ST W & HWY 97 S & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & 10th Ave ,-122.78177628409276,53.915447860379075,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2020,5TH AVE & GEORGE ST,PRINCE GEORGE,1,George St  & 5th Ave ,-122.74399761023611,53.914548932470986,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2020,COLLINS RD & GRANT RD & HART HWY & RANDLE RD,PRINCE GEORGE,1,Grant Rd  & Randle Rd ,-122.76890290888922,53.97125439455562,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2020,COWART RD & HWY 16 W & VANCE RD & CEMETERY ACCESS ROAD & TURNING LANE,PRINCE GEORGE,1,Hwy 16 W & Vance Rd ,-122.77015009178176,53.88093857899615,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2020,HART HWY & HART HWY ONRAMP & HWY 97 S & N NECHAKO RD OFFRAMP & N NECHAKO RD ONRAMP & NECHAKO RD OVERPASS & NORTH NECHAKO RD & INDUSTRIAL ACCESS ROAD,PRINCE GEORGE,1,Hart Hwy  & North Nechako Rd ,-122.78062589085935,53.93106085695682,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2020,MASSEY DR & WESTWOOD DR & TURNING LANE,PRINCE GEORGE,1,Massey Dr  & Westwood Dr ,-122.78220102448,53.89962927490321,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2021,3RD AVE & QUEENSWAY,PRINCE GEORGE,1,Queensway   & 3rd Ave ,-122.7410487021898,53.91560474374013,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2021,5TH AVE & CENTRAL ST E & HWY 97 S & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & 5th Ave ,-122.78177854610227,53.9205941555201,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2021,EUGENE RD # 006850 TO 007099,PRINCE GEORGE,1,,,,
motorcycle_crashes,Crashes involving motorcycles,2021,HWY 97 S & JOHN HART BRIDGE,PRINCE GEORGE,1,,,,
motorcycle_crashes,Crashes involving motorcycles,2021,MASSEY DR & WESTWOOD DR & TURNING LANE,PRINCE GEORGE,1,Massey Dr  & Westwood Dr ,-122.78220102448,53.89962927490321,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2021,PINE ST # 002000 TO 002099,PRINCE GEORGE,1,,,,
