Priority_Rank,Priority_Category,FeatureType,AssetID,Impact,Contribution_Discrete,Contribution_Continuous,Benefit_Discrete,Benefit_Continuous,Benefit_Per_Asset_Length,ConditionScore,WeightedDistressExtentRatio,AssetLength,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,MI_Score_Public_Normalized,Risk_Product_Public_MI_x_Condition,source_layer,public_length_m,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,DistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,PedestrianIncidents_50m_2020_2024,ConditionScore_num,WeightedDistressExtentRatio_num,AssetLength_num,Benefit_With_Incidents
1,Very High,RPath,541,5.0,4.0,0.006,20.0,0.03,0.0986679822397632,1.0,0.006,202.7,95,5,5,5.0,sidewalks,203.284,CON,1,2,2,0,0,0,0,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,2,2,0,0,0,1,2,2,0,0,0,1,2,2,1,2,0,1,2,2,1,0,0,5,0,1,1,1,1,2,2,1,2,2,1,2,0,5,0,0.015,,,,0.007,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,0,1.0,0.006,202.7,20.0
2,Very High,RPath,703,5.0,4.0,0.005,20.0,0.025,0.08213552361396304,1.0,0.005,243.5,104,5,5,5.0,sidewalks,244.676,CON,1,2,2,1,2,0,1,0,0,1,2,2,1,2,2,0,0,0,0,0,0,1,0,0,5,5,0,2,1,2,2,1,0,0,1,2,0,0,0,0,1,2,0,5,1,2,2,0,1,1,1,2,2,5,5,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,5,3,1,1,1,1,2,2,0,0,0,0,0,0,5,0,0.018,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.005,243.5,30.0
3,Very High,RPath,713,5.0,4.0,0.003,20.0,0.015,0.08326394671107411,1.0,0.003,240.2,97,5,5,5.0,sidewalks,240.468,CON,1,2,0,1,2,0,1,0,0,1,0,0,1,2,2,1,2,0,0,0,0,0,0,0,5,0,0,2,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,5,1,2,0,0,1,1,1,2,2,5,5,0,3,1,1,0,0,1,0,0,1,2,2,0,0,0,1,0,0,1,2,0,1,2,2,0,0,0,5,3,1,1,1,1,0,0,1,0,0,1,2,0,5,0,0.012,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.003,240.2,30.0
4,Very High,RPath,721,5.0,4.0,0.0,20.0,0.0,0.17809439002671415,1.0,0.0,112.3,86,5,5,5.0,sidewalks,110.454,CON,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,2,2,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,0,0,0,1,2,0,1,2,0,0,0,0,1,2,0,1,2,0,1,2,2,1,0,0,0,3,1,1,1,1,2,2,1,0,0,1,2,2,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.0,112.3,40.0
5,Very High,RPath,753,5.0,4.0,0.0,20.0,0.0,0.2638522427440633,1.0,0.0,75.8,103,5,5,5.0,sidewalks,76.223,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,5,5,0,2,1,0,0,1,2,2,1,2,2,0,0,0,1,0,0,5,1,2,2,0,1,0,1,2,2,5,5,0,3,1,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,1,2,2,1,2,0,0,0,0,5,3,1,1,1,1,2,2,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,75.8,30.0
6,Very High,RPath,762,5.0,4.0,0.0,20.0,0.0,0.06289308176100629,1.0,0.0,318.0,87,5,5,5.0,sidewalks,316.767,CON,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,2,1,0,0,1,2,2,1,2,2,0,0,0,1,2,0,5,1,2,2,0,1,0,1,2,2,0,5,0,3,0,0,0,0,1,2,0,1,2,2,1,0,0,1,2,2,1,0,0,1,0,0,0,0,0,5,3,1,1,1,1,2,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.0,318.0,40.0
7,Very High,RPath,765,5.0,4.0,0.006,20.0,0.03,0.15026296018031557,1.0,0.006,133.1,94,5,5,5.0,sidewalks,133.108,CON,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,2,1,2,0,1,2,2,1,2,2,0,0,0,1,2,2,5,1,2,2,0,1,1,1,2,2,5,5,0,3,0,1,0,0,1,2,0,1,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,3,1,1,1,1,2,0,0,0,0,0,0,0,5,0,0.023,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,0.006,133.1,50.0
8,Very High,RPath,811,5.0,4.0,0.0,20.0,0.0,0.49140049140049136,1.0,0.0,40.7,86,5,5,5.0,sidewalks,40.72,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,2,2,1,2,0,0,0,0,1,2,2,5,0,0,0,1,2,0,1,0,0,1,2,2,0,0,0,1,2,2,5,1,2,2,0,1,1,1,2,2,5,5,0,0,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,40.7,30.0
9,Very High,RPath,970,5.0,4.0,0.004,20.0,0.02,0.1968503937007874,1.0,0.004,101.6,87,5,5,5.0,sidewalks,95.944,CON,1,2,2,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,1,2,0,1,2,2,1,2,0,5,0,1,1,1,1,2,2,1,2,2,1,2,2,5,0,0.015,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.004,101.6,20.0
10,Very High,RPath,980,5.0,4.0,0.0,20.0,0.0,0.09727626459143969,1.0,0.0,205.6,96,5,5,5.0,sidewalks,205.964,CON,1,2,2,1,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,2,2,1,2,2,1,2,2,0,0,0,1,2,2,0,1,2,2,0,1,0,1,2,2,5,5,0,3,0,1,0,0,0,0,0,1,2,0,1,0,0,1,2,0,1,2,0,1,0,0,0,0,0,5,0,1,1,1,1,2,2,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,0.0,205.6,50.0
