Priority_Rank,Priority_Category,FeatureType,AssetID,Benefit_Discrete,Impact,Contribution_Discrete,RepairCost_Low,RepairCost_Mid,RepairCost_High,Benefit_per_Cost_Mid,SurfaceFamily,AssetLength,ConditionScore,MI_Score_Public_Normalized,public_length_m,Contribution_Continuous,Benefit_Continuous,Benefit_Per_Asset_Length,WeightedDistressExtentRatio,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,Risk_Product_Public_MI_x_Condition,source_layer,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,DistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,PedestrianIncidents_50m_2020_2024,ConditionScore_num,WeightedDistressExtentRatio_num,AssetLength_num,Benefit_With_Incidents,public_length_m_num
1,Very High,RPath,541,20.0,5.0,4.0,43.0,64.0,85.0,0.3125,Asphalt,202.7,1.0,5,203.284,0.006,0.03,0.0986679822397632,0.006,95,5,5.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,2,2,0,0,0,1,2,2,0,0,0,1,2,2,1,2,0,1,2,2,1,0,0,5,0,1,1,1,1,2,2,1,2,2,1,2,0,5,0,0.015,,,,0.007,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,0,1.0,0.006,202.7,20.0,203.284
2,Very High,RPath,703,20.0,5.0,4.0,22.0,33.0,44.0,0.6060606060606061,Asphalt,243.5,1.0,5,244.676,0.005,0.025,0.082135523613963,0.005,104,5,5.0,sidewalks,CON,1,2,2,1,2,0,1,0,0,1,2,2,1,2,2,0,0,0,0,0,0,1,0,0,5,5,0,2,1,2,2,1,0,0,1,2,0,0,0,0,1,2,0,5,1,2,2,0,1,1,1,2,2,5,5,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,5,3,1,1,1,1,2,2,0,0,0,0,0,0,5,0,0.018,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.005,243.5,30.0,244.676
3,Very High,RPath,713,20.0,5.0,4.0,14.0,22.0,29.0,0.9090909090909091,Asphalt,240.2,1.0,5,240.468,0.003,0.015,0.0832639467110741,0.003,97,5,5.0,sidewalks,CON,1,2,0,1,2,0,1,0,0,1,0,0,1,2,2,1,2,0,0,0,0,0,0,0,5,0,0,2,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,5,1,2,0,0,1,1,1,2,2,5,5,0,3,1,1,0,0,1,0,0,1,2,2,0,0,0,1,0,0,1,2,0,1,2,2,0,0,0,5,3,1,1,1,1,0,0,1,0,0,1,2,0,5,0,0.012,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.003,240.2,30.0,240.468
4,Very High,RPath,721,20.0,5.0,4.0,0.0,0.0,0.0,,Asphalt,112.3,1.0,5,110.454,0.0,0.0,0.1780943900267141,0.0,86,5,5.0,sidewalks,CON,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,2,2,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,0,0,0,1,2,0,1,2,0,0,0,0,1,2,0,1,2,0,1,2,2,1,0,0,0,3,1,1,1,1,2,2,1,0,0,1,2,2,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.0,112.3,40.0,110.454
5,Very High,RPath,753,20.0,5.0,4.0,0.0,0.0,0.0,,Asphalt,75.8,1.0,5,76.223,0.0,0.0,0.2638522427440633,0.0,103,5,5.0,sidewalks,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,5,5,0,2,1,0,0,1,2,2,1,2,2,0,0,0,1,0,0,5,1,2,2,0,1,0,1,2,2,5,5,0,3,1,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,1,2,2,1,2,0,0,0,0,5,3,1,1,1,1,2,2,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,75.8,30.0,76.223
6,Very High,RPath,762,20.0,5.0,4.0,0.0,0.0,0.0,,Asphalt,318.0,1.0,5,316.767,0.0,0.0,0.0628930817610062,0.0,87,5,5.0,sidewalks,CON,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,2,1,0,0,1,2,2,1,2,2,0,0,0,1,2,0,5,1,2,2,0,1,0,1,2,2,0,5,0,3,0,0,0,0,1,2,0,1,2,2,1,0,0,1,2,2,1,0,0,1,0,0,0,0,0,5,3,1,1,1,1,2,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.0,318.0,40.0,316.767
7,Very High,RPath,765,20.0,5.0,4.0,15.0,23.0,31.0,0.8695652173913043,Asphalt,133.1,1.0,5,133.108,0.006,0.03,0.1502629601803155,0.006,94,5,5.0,sidewalks,CON,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,2,1,2,0,1,2,2,1,2,2,0,0,0,1,2,2,5,1,2,2,0,1,1,1,2,2,5,5,0,3,0,1,0,0,1,2,0,1,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,3,1,1,1,1,2,0,0,0,0,0,0,0,5,0,0.023,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,0.006,133.1,50.0,133.108
8,Very High,RPath,811,20.0,5.0,4.0,0.0,0.0,0.0,,Asphalt,40.7,1.0,5,40.72,0.0,0.0,0.4914004914004913,0.0,86,5,5.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,2,2,1,2,0,0,0,0,1,2,2,5,0,0,0,1,2,0,1,0,0,1,2,2,0,0,0,1,2,2,5,1,2,2,0,1,1,1,2,2,5,5,0,0,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,40.7,30.0,40.72
9,Very High,RPath,970,20.0,5.0,4.0,8.0,11.0,15.0,1.8181818181818181,Asphalt,101.6,1.0,5,95.944,0.004,0.02,0.1968503937007874,0.004,87,5,5.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,1,2,0,1,2,2,1,2,0,5,0,1,1,1,1,2,2,1,2,2,1,2,2,5,0,0.015,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.004,101.6,20.0,95.944
10,Very High,RPath,980,20.0,5.0,4.0,0.0,0.0,0.0,,Asphalt,205.6,1.0,5,205.964,0.0,0.0,0.0972762645914396,0.0,96,5,5.0,sidewalks,CON,1,2,2,1,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,2,2,1,2,2,1,2,2,0,0,0,1,2,2,0,1,2,2,0,1,0,1,2,2,5,5,0,3,0,1,0,0,0,0,0,1,2,0,1,0,0,1,2,0,1,2,0,1,0,0,0,0,0,5,0,1,1,1,1,2,2,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,0.0,205.6,50.0,205.964
