FeatureType,AssetID,source_layer,public_length_m,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,MI_Score_Public_Normalized,ConditionScore,AssetLength,DistressExtentRatio,WeightedDistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,Risk_Product_Public_MI_x_Condition
RPath,1,sidewalks,66.779,HMAC,1,2,2,1,2,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,46,3,2,3,68.6,0.219,0.219,,,,,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
RPath,2,sidewalks,169.426,CON,1,2,2,1,2,2,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,53,3,3,3,169.4,0.257,0.241,,,0.027,0.009,0.204,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,,,9.0
RPath,3,sidewalks,111.178,CON,1,2,2,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,1,2,2,0,1,2,2,0,1,1,1,2,2,0,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,69,4,4,3,111.2,0.216,0.121,,,,0.108,0.081,,,,,,,,,,0.027,,,,,,,,,,,,,,,,,,,12.0
RPath,4,sidewalks,72.488,CON,1,2,2,1,0,0,1,0,0,1,2,0,1,2,2,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,2,2,1,2,2,1,2,0,1,2,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,5,0,68,4,4,3,72.3,0.249,0.249,,,,,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
RPath,5,sidewalks,229.372,CON,1,2,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,42,2,2,2,229.6,0.046,0.011,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
RPath,6,sidewalks,355.725,CON,1,2,0,0,0,0,0,0,0,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,0,5,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,5,0,57,3,3,2,350.5,0.107,0.029,,,,0.098,,,,,,,,,,,0.004,,0.004,,,,,,,,,,,,,,,,,6.0
RPath,9,sidewalks,63.096,HMAC,1,2,2,1,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,5,0,0,1,2,2,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,0,0,0,0,1,1,1,1,2,2,1,2,0,1,2,0,5,0,73,4,4,4,79.0,0.455,0.256,,,,0.228,0.152,,0.038,,,,,0.019,,,,0.019,,,,,,,,,,,,,,,,,,16.0
RPath,10,sidewalks,219.032,CON,1,2,2,1,2,0,1,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,2,1,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,81,4,4,3,218.2,0.192,0.101,,,,0.117,0.048,,,,,,,,,,0.007,,,0.021,,,,,,,,,,,,,,,,12.0
RPath,11,sidewalks,130.53,CON,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,1,2,0,1,2,2,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,70,4,4,3,132.8,0.181,0.138,,,,0.056,0.090,,,,,,,,,,,0.023,,0.011,,,,,,,,,,,,,,,,12.0
RPath,12,sidewalks,112.935,CON,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,2,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,50,3,3,2,117.1,0.102,0.086,,,,0.013,0.051,,,,,,,,,,0.013,0.026,,,,,,,,,,,,,,,,,,6.0
